Dataset,Label,Initial Set Description,Method,Budget,Seed,Initial Set Size,Initial Test R2,Labeled Set Size,Test R2
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,1000,123,5488,0.6539498059686957,6488,0.6686656503303858
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,1000,789,5488,0.6539498059686957,6488,0.6693945145101586
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,1000,456,5488,0.6539498059686957,6488,0.6704205557019602
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,1000,1,5488,0.6539498059686957,6488,0.6710498329484791
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,typiclust,1000,123,5488,,5488,
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,typiclust,1000,1,5488,0.6539498059686957,6488,0.6709733182227255
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,typiclust,1000,42,5488,0.6539498059686957,6488,0.6653792694456424
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,inversetypiclust,100,42,849,0.5827131247468811,949,0.5905908730110363
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,inversetypiclust,100,789,849,0.5827131247468811,949,0.5905538242529377
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,inversetypiclust,100,123,849,0.5827131247468811,949,0.5873221314536853
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,inversetypiclust,100,1,849,0.5827131247468811,949,0.5929035953992929
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,inversetypiclust,100,456,849,0.5827131247468811,949,0.5906216798626995
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,100,42,849,0.5827131247468811,949,0.5933336514435579
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,100,456,849,0.5827131247468811,949,0.5968099239190946
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,100,789,849,0.5827131247468811,949,0.5917704528393793
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,100,1,849,0.5827131247468811,949,0.5876902172325205
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,100,123,849,0.5827131247468811,949,0.5833930721945939
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,typiclust,100,42,849,0.5827131247468811,949,0.5908848082413731
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,typiclust,100,1,849,0.5827131247468811,949,0.5868191212726084
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,typiclust,100,456,849,0.5827131247468811,949,0.5924912912258073
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,typiclust,100,123,849,0.5827131247468811,949,0.5929031811373291
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,typiclust,100,789,849,0.5827131247468811,949,0.5878335546078342
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,1000,123,849,0.5827131247468811,1849,0.6231562439814708
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,1000,42,849,0.5827131247468811,1849,0.6168686257994538
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,1000,789,849,0.5827131247468811,1849,0.629105300868902
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,1000,1,849,0.5827131247468811,1849,0.6196365300551488
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,random,1000,456,849,0.5827131247468811,1849,0.6251852347243256
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,typiclust,1000,42,849,0.5827131247468811,1849,0.6211442629695076
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,typiclust,1000,1,849,0.5827131247468811,1849,0.63332904173763
USAVARS,POP,IDs_500_centers_5000m_radius_seed_42,typiclust,1000,123,849,0.5827131247468811,1849,0.6284933073247699
USAVARS,POP,IDs_500_counties_4_points_seed_42,inversetypiclust,100,123,1292,0.5812976693528568,1392,0.591321509050045
USAVARS,POP,IDs_500_counties_4_points_seed_42,inversetypiclust,100,456,1292,0.5812976693528568,1392,0.588871855467189
USAVARS,POP,IDs_500_counties_4_points_seed_42,inversetypiclust,100,1,1292,0.5812976693528568,1392,0.5892915193700885
USAVARS,POP,IDs_500_counties_4_points_seed_42,inversetypiclust,100,42,1292,0.5812976693528568,1392,0.5944405504865474
USAVARS,POP,IDs_500_counties_4_points_seed_42,inversetypiclust,100,789,1292,0.5812976693528568,1392,0.587326178470053
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,100,789,1292,0.5812976693528568,1392,0.5920128213127932
